        358	        818	        525	        439	
         49	        600	        675	        858	
        805	        861	        773	        279	
        600	        233	        606	        724	
        939	        690	        717	        710	
        155	        180	        596	         17	
        526	        898	        628	         65	
        801	        829	        988	        647	
    1373157	    1964869	    1943226	    1718324	
     554290	     751907	     673885	     401077	
     776850	    1524921	    1407134	    1223670	
    1510919	    2154037	    2135906	    1807001	


